,recall,cost,reliability,loss_er,rel_err,dataset_name,des_prob,des_recall
CLEF2017_0.95-1.0-OR,1.000±0.000,0.133±0.194,1.000,0.005±0.007,0.000±0.000,CLEF2017,0.95,1.0
CLEF2017_0.95-0.9-OR,0.923±0.036,0.057±0.061,1.000,0.009±0.006,0.026±0.039,CLEF2017,0.95,0.9
CLEF2017_0.95-0.8-OR,0.834±0.067,0.043±0.048,1.000,0.033±0.014,0.042±0.084,CLEF2017,0.95,0.8
CLEF2018_0.95-1.0-OR,1.000±0.000,0.161±0.207,1.000,0.007±0.013,0.000±0.000,CLEF2018,0.95,1.0
CLEF2018_0.95-0.9-OR,0.912±0.019,0.067±0.064,1.000,0.010±0.004,0.013±0.021,CLEF2018,0.95,0.9
CLEF2018_0.95-0.8-OR,0.812±0.016,0.051±0.054,1.000,0.037±0.006,0.015±0.020,CLEF2018,0.95,0.8
CLEF2019_0.95-1.0-OR,1.000±0.000,0.116±0.123,1.000,0.009±0.017,0.000±0.000,CLEF2019,0.95,1.0
CLEF2019_0.95-0.9-OR,0.929±0.037,0.071±0.082,1.000,0.011±0.013,0.033±0.041,CLEF2019,0.95,0.9
CLEF2019_0.95-0.8-OR,0.830±0.050,0.057±0.069,1.000,0.035±0.015,0.037±0.062,CLEF2019,0.95,0.8
TR_0.95-1.0-OR,1.000±0.000,0.043±0.108,1.000,0.000±0.000,0.000±0.000,TR,0.95,1.0
TR_0.95-0.9-OR,0.902±0.004,0.005±0.010,1.000,0.010±0.001,0.003±0.004,TR,0.95,0.9
TR_0.95-0.8-OR,0.802±0.003,0.004±0.008,1.000,0.039±0.001,0.003±0.004,TR,0.95,0.8
Legal_0.95-1.0-OR,1.000±0.000,0.326±0.146,1.000,0.001±0.001,0.000±0.000,Legal,0.95,1.0
Legal_0.95-0.9-OR,0.900±0.000,0.040±0.011,1.000,0.010±0.000,0.000±0.000,Legal,0.95,0.9
Legal_0.95-0.8-OR,0.801±0.000,0.026±0.008,1.000,0.040±0.000,0.001±0.001,Legal,0.95,0.8
